,NEUTRON 1,NBINS 1,NEUTRON 2,NBINS 2
0,1,0.1,1,0.1
1,0,0.109765625,0,0.109765625
2,0,0.11953125,0,0.11953125
3,1,0.129296875,0,0.129296875
4,2,0.1390625,0,0.1390625
5,0,0.148828125,0,0.148828125
6,2,0.15859375,1,0.15859375
7,0,0.168359375,0,0.168359375
8,3,0.178125,0,0.178125
9,41,0.187890625,0,0.187890625
10,242,0.19765625,2,0.19765625
11,800,0.207421875,45,0.207421875
12,2186,0.2171875,373,0.2171875
13,4502,0.226953125,1048,0.226953125
14,9548,0.23671875,2306,0.23671875
15,20811,0.246484375,5681,0.246484375
16,40773,0.25625,12148,0.25625
17,57832,0.266015625,29530,0.266015625
18,95448,0.27578125,71097,0.27578125
19,119476,0.285546875,97321,0.285546875
20,135576,0.2953125,119632,0.2953125
21,142806,0.305078125,154698,0.305078125
22,124199,0.31484375,136340,0.31484375
23,144381,0.324609375,136932,0.324609375
24,143276,0.334375,157160,0.334375
25,139902,0.344140625,132914,0.344140625
26,138039,0.35390625,131685,0.35390625
27,116430,0.363671875,151662,0.363671875
28,133793,0.3734375,127013,0.3734375
29,130964,0.383203125,125289,0.383203125
30,128564,0.39296875,142712,0.39296875
31,126218,0.402734375,120711,0.402734375
32,124529,0.4125,118651,0.4125
33,105602,0.422265625,137015,0.422265625
34,121462,0.43203125,114570,0.43203125
35,118948,0.441796875,114285,0.441796875
36,117769,0.4515625,130535,0.4515625
37,115974,0.461328125,109982,0.461328125
38,97800,0.47109375,109022,0.47109375
39,112720,0.480859375,124734,0.480859375
40,111500,0.490625,105631,0.490625
41,109178,0.500390625,121580,0.500390625
42,108186,0.51015625,103079,0.51015625
43,91249,0.519921875,101003,0.519921875
44,104888,0.5296875,116703,0.5296875
45,104451,0.539453125,98299,0.539453125
46,102370,0.54921875,97121,0.54921875
47,100828,0.558984375,111968,0.558984375
48,99517,0.56875,94367,0.56875
49,83954,0.578515625,93090,0.578515625
50,97099,0.58828125,107162,0.58828125
51,95710,0.598046875,90669,0.598046875
52,93994,0.6078125,89536,0.6078125
53,93328,0.617578125,103365,0.617578125
54,79095,0.62734375,87069,0.62734375
55,91254,0.637109375,86058,0.637109375
56,89967,0.646875,99263,0.646875
57,87854,0.656640625,84144,0.656640625
58,87327,0.66640625,82743,0.66640625
59,74115,0.676171875,95228,0.676171875
60,85267,0.6859375,81246,0.6859375
61,84211,0.695703125,80027,0.695703125
62,83088,0.70546875,92017,0.70546875
63,82350,0.715234375,77807,0.715234375
64,81226,0.725,76376,0.725
